PID,	Sale_Price
908276150,	74656.2
903451090,	150860.6
527110080,	175197.3
535457010,	142421.6
903484020,	137824.4
905479110,	120025.3
527452310,	133042.9
528228445,	190787.6
923225370,	97254.8
528344040,	320484.7
532377050,	145162.1
535176050,	148885.2
906340100,	341872.2
533212050,	166903.4
909428180,	190953.5
535379110,	137896.7
534250400,	186057
527450520,	108809.6
527452150,	136650.6
903225040,	132605.1
911370410,	278831.5
905226080,	162792.9
914467050,	204327.4
908152260,	147191.1
534451170,	82936
923228310,	80640.5
910201180,	152435.5
534476100,	135919.9
923225080,	122295
906223210,	228789.1
905480150,	88255.3
903452090,	123463.9
527208010,	377505.5
906426090,	176016
903231090,	142292.9
535152280,	148889
528458180,	223467.9
532354060,	126041.9
909279040,	107375.3
527353060,	240083.1
916176030,	158073.7
533110130,	279364.7
911370450,	267227.9
528118110,	332245.3
528228270,	196496.1
905480240,	95881.1
914460020,	196191.6
534428060,	133069.3
534252240,	165375.5
908102050,	112391.6
914475030,	180696.9
533221040,	169991.1
535451170,	96392.8
905451340,	78500.1
528118040,	396555
903200080,	215419
527162110,	189039.5
535381040,	152535.4
528174020,	201012.8
534400290,	170213.1
903206070,	135569
533252130,	216618.3
906382030,	236475.4
535327200,	131221
535455080,	116020
527354160,	180840.3
902207120,	102007.7
909282060,	203756.9
902109140,	119027.6
902206270,	135047.5
533250050,	242448.7
909452050,	222647.2
527212060,	380473.4
906394060,	189606.7
534401120,	159291.1
528435010,	232348.7
528315080,	287811.9
909275030,	149051.6
528102010,	377840.8
907200290,	147270.6
902300260,	121956
528150110,	341935.2
535450100,	128667
907285010,	233793.1
533253210,	194475.4
527301280,	142591.5
905478140,	137144.3
902204080,	86999.6
907201280,	132028.5
905476170,	92358.1
923228210,	79635.5
534226120,	119915.2
527301170,	208247.8
535453040,	127679.4
535150300,	219013
528363020,	321409.5
907265100,	211443.5
910200060,	141682.4
532376160,	127700
908204180,	67309.8
909282130,	144017.1
528326110,	326906.8
534176230,	157939.7
527302210,	215131.9
526355170,	273577.3
535305180,	141067.8
